Customer ID,Age,Gender,Annual Income,Spending Score,Cluster
bd38959a-71ba-4d38-8a52-3c23ffcf5cdd,44,Male,101,55,29
835b35a2-e838-401a-86fe-85c3c181bbb6,65,Male,97,67,29
90b18bf2-2413-4212-8934-e67ffc233192,22,Female,106,74,29
3d95829f-3d62-4ee6-a67f-d6efe7029686,21,Female,116,55,29
0947cfd7-72d1-456a-8524-947bf653fa57,18,Female,96,64,29
6fc3660d-23f5-4a54-a8df-e146387a73f2,41,Female,114,54,29
880df93e-6bc1-42bd-bd6a-e2b8d499b710,33,Male,99,64,29
ad5f7b6f-aef3-4867-87e1-f862a6519ce3,54,Female,113,65,29
052c0bb0-b259-4fac-b090-66822627962f,53,Female,101,61,29
14deeb50-9d65-427d-babd-137e86ccdb5f,18,Male,98,58,29
c426a010-2777-4b68-b361-90601fc72cd5,83,Female,113,70,29
9dd88f36-3a4b-4059-8a9f-16736cdb3405,34,Male,100,59,29
76589ce3-d58a-497d-b694-3f5477278129,49,Female,100,63,29
5e4fc500-dcb6-4942-abe3-b33ad82a2883,64,Male,109,63,29
25df3e32-d769-428d-a240-4ddb51efcb70,59,Male,111,52,29
892c0f4a-7037-441c-a126-637a31596f5f,56,Male,98,53,29
0851f7bf-4d8a-4aa9-b74b-f69cd8475f53,23,Male,95,66,29
653bb2c6-c7ea-4d03-b274-a56bfdf34e80,65,Female,112,58,29
be51be55-613a-43a0-89ac-9d7bb10441a8,76,Male,93,65,29
eaa76e3d-93c2-4dac-8519-17a869b17876,37,Male,115,67,29
398d1ff4-998f-4e8e-81c9-ec4d38bb168b,75,Female,111,73,29
065b4994-02b7-4485-9b93-35f8fb2f480f,69,Female,112,59,29
676ede6b-0aee-4926-b7c1-bdd64e723fb0,36,Male,109,70,29
7e42eab4-4ddd-4e63-814a-e71c90860d27,77,Male,96,61,29
3cee26c8-e2a8-4998-8392-98f3b3eb682c,60,Female,101,54,29
ab5ba77c-5bbe-4537-bc7f-62f12b442f41,85,Female,101,65,29
8f199938-402c-4eb4-9d77-380394d82b93,89,Male,96,54,29
9db824e2-ed59-4789-aad3-1cc4486e3ffa,65,Female,107,59,29
e1337b15-7eea-4e87-a9ac-db2dd5e6d1c8,57,Male,112,71,29
69d35ab5-6ef7-4ad6-b209-cd832f1a0d78,34,Female,104,65,29
09db9dfe-d927-44c2-9c8c-c638dca3d66c,86,Male,109,60,29
1663c72e-20cb-4726-8930-0eb82e69e17e,84,Female,115,54,29
641eac8e-0805-4a03-a10a-d5d3d099fa4e,66,Female,99,54,29
c03ceddc-a154-4fb6-b17f-628b86a0453b,62,Male,100,60,29
f9dc2141-81f9-4109-b677-0aacf22d8bac,55,Male,114,52,29
97b52c70-9452-466f-8fd4-e29fef8d5633,80,Male,103,63,29
0feb4957-141a-4f3d-9d35-ba362a7a93db,85,Male,116,70,29
e6a73d16-6e54-4e26-bb00-b89c6e850c38,49,Female,104,69,29
7a7bccbd-58bc-46cc-ab29-03f7a387c5db,57,Female,97,64,29
a5a3d043-7eff-4a6d-8af1-e9abeaa1c2a1,53,Female,110,60,29
053cf771-1ca1-4f74-8624-b9648d9d5ad3,55,Male,112,53,29
bf54f224-1c7d-4dbe-8310-8c04fdf18097,50,Female,101,58,29
b6c54c8e-046b-4fd2-95d5-394f1548e302,75,Male,108,67,29
a6b63619-69eb-4b13-b83f-483be39d49e8,90,Male,100,56,29
b42f047b-8c55-4413-ac26-28878de1b1d0,61,Female,106,60,29
76b409c4-9e6f-4112-b3c2-e694bd5fdddf,89,Male,99,67,29
9ce7e0cb-64b8-4a1d-a8c2-b72fdf4ac18b,28,Male,107,66,29
e6c0e4aa-ed03-416d-b989-b608b98b9dca,78,Female,105,70,29
6c87c16e-e231-4c11-afec-aa2e3499c8f6,76,Female,114,66,29
ceaf5634-9094-442d-8f55-dd554cc80843,61,Female,114,53,29
5c5cc38c-297d-41fb-8ef5-fcfb1b48882d,64,Female,107,60,29
31cb92d7-71d7-4d1b-bcb4-d45292700dee,41,Male,110,66,29
db93f9e7-850e-424e-91dc-abcf75d49070,86,Male,99,55,29
5321f8fd-fec1-4d2e-a7c2-76210f94afed,86,Female,100,56,29
f071b228-1b0d-49cc-8a95-2611e7eb68cd,77,Female,114,56,29
decf7370-47a9-4f1d-a22b-748756c5aa19,69,Female,112,66,29
bec26fdd-9c24-4077-aab8-25fe7b857c88,34,Female,114,63,29
b98d0b5a-d672-4b36-8264-6a1b1957e2ef,61,Male,108,71,29
1cdf7585-0384-40ad-a36c-2377deda1e22,81,Female,117,65,29
0903e273-cd42-4a2b-b294-b0406365bc17,83,Female,101,66,29
b8118b64-5b6f-4d9a-8349-d14a4280b136,81,Male,109,56,29
231f6a6e-5be3-43a0-ac00-7a5e561dcf8d,28,Male,100,60,29
d0b928d2-e185-4470-b15e-74488d30be0a,71,Male,113,65,29
f02b65c7-38b6-4084-adfc-546285eb6927,49,Male,115,55,29
d9aa87d3-aa8e-4001-a91f-4acc984b5dc5,22,Male,108,65,29
971420fe-afe3-48cc-b2a6-de8ebdca15e3,59,Male,100,61,29
64c33d34-e8c2-4b0d-bd30-28ed9b9c01bd,69,Male,92,66,29
c2ece86b-da04-4bbb-a964-c434f5442366,71,Female,97,58,29
911d3cb5-7e5f-4da2-b9f2-a8ced9e2c12a,89,Female,110,61,29
7df52657-7a0f-49bd-a627-d6fe236a161e,68,Male,108,63,29
628e4689-bd69-4d0b-98c6-1202b13ba7e7,50,Female,95,68,29
c66aedbb-d853-4ff9-a34c-c0601caa35f1,67,Male,109,64,29
9722ab99-a891-461e-9e64-f408c47c1bde,41,Male,107,59,29
02598d54-9293-42a6-bdfa-1353d9906adc,22,Female,100,55,29
055067f1-2417-46e1-914a-fc4e3f2ca0a2,50,Male,110,69,29
e56c8b0c-64cd-4f4f-b806-5f0d0c365532,88,Female,102,57,29
1b53356b-1156-4a66-94be-59e3d688c0f7,32,Female,111,67,29
47044aac-9bde-49db-b19d-c450be8f19b2,44,Male,104,71,29
0b01fed9-b6a7-4bec-a030-9956d85b349d,56,Male,117,55,29
ca5bbb88-574c-4a47-b8d5-992dd6c4b4f2,49,Female,94,66,29
2471518c-96b3-4e70-8bf0-f6ac45a94873,76,Female,112,52,29
1a627438-143d-4eb2-89b3-5156a3c9e551,53,Male,113,56,29
786acf53-bdc2-414b-9690-d93b7f95ac0d,78,Female,112,52,29
9b4fd09c-5e9e-4f1b-ba9c-71648af85cb4,68,Female,97,62,29
dfbb875c-a475-45d5-b4a8-d21c0e9a5f1f,21,Male,109,56,29
1f2e9bd8-12d2-42c2-87fe-3fd331529574,33,Female,110,71,29
88ecaa0b-9e04-4a11-97b2-1f32cf4550e9,64,Male,110,55,29
018d783d-0aef-4803-aab9-3187b7a83cb6,72,Male,114,52,29
cbee33ef-192e-43c1-9b7f-13b2f154138b,40,Male,116,68,29
5b0c0304-faa0-485c-be1c-3a3e4332e965,21,Male,115,55,29
1c016954-4cd8-4edc-b03a-5c876e23793a,22,Female,111,61,29
bbb5f427-61b5-4ff1-a2cd-68bdc19d6b65,72,Male,107,59,29
f9b6a72d-839a-4f28-aeec-a374a1fb15b3,26,Female,111,55,29
9adaa877-a32a-47b6-8dd6-462de91cd67f,47,Female,95,66,29
47667169-3e66-44cd-b0ab-50dd5cf3a851,32,Female,101,59,29
4fd8af2f-1730-4748-9e13-0c92661a53ff,42,Male,101,61,29
3b7a328c-4afc-4ebc-8836-459d0c31f961,55,Male,106,72,29
94bbe982-16c3-4372-869b-7df58f07df1b,53,Male,97,57,29
f13f8224-64e1-4f2e-9a33-d8822a96f05e,88,Male,109,55,29
299e823f-017b-40c9-a079-96e56ce19ae6,60,Male,117,68,29
2984c6b4-f6ec-45b5-9ff7-42ce7c4d2207,80,Male,110,56,29
6da9eb68-783c-4088-a416-ae1a5929f27a,77,Female,114,54,29
e664303e-2f3e-4722-b07d-a2d28e327fa9,29,Female,106,74,29
3c11f841-d87a-4b95-b6eb-2dd36c0ddf3f,84,Female,97,63,29
1c6ed150-f47f-4095-8cdb-c8b652ee0e6e,43,Female,93,54,29
6fb95d63-da28-45d3-bb7b-a4aab2c73b9c,73,Female,91,54,29
7596e1b8-b0e4-47f7-a753-027281806bcd,63,Female,113,69,29
112eeff6-8d68-47d1-acf0-1d2388677257,54,Male,93,66,29
7cef4adb-ccd4-4d56-a36f-a3e23439b306,45,Male,103,64,29
e1416b23-e1dd-4438-a254-72132dc5ae6b,81,Female,103,69,29
e1cf580e-9753-47f8-b858-65c134ce806b,69,Female,110,57,29
66d0727a-2fee-441d-9f98-c4707f71c433,43,Female,110,59,29
