Customer ID,Age,Gender,Annual Income,Spending Score,Age Group
d410ea53-6661-42a9-ad3a-f554b05fd2a7,30,Male,151,89,adult
7e211337-e92f-4140-8231-5c9ac7a2aa12,42,Male,158,40,adult
49ba3e9d-a590-4303-b443-e794d0364c11,37,Male,171,75,adult
5963ff82-b2de-453f-bffe-4fed059e18ae,58,Male,81,23,adult
96892d38-cadf-4409-83d8-1b7a3b37b05a,40,Male,64,62,adult
d5e8bfcc-51e1-44b2-a59d-9174d10efb97,55,Male,77,86,adult
3e260c72-5788-4641-8dad-9cc7a4eaafef,45,Male,82,39,adult
b6e3dfc4-1a49-4424-a0d9-d0f796002933,45,Male,147,1,adult
92390e01-1df1-4643-b044-546283ae7773,46,Male,88,3,adult
38cb6a10-0af1-4505-b3df-0f8ff3a4e4d3,36,Male,64,23,adult
9a359e4f-973c-4f8a-91dd-eb930fddedc8,36,Male,126,35,adult
bd38959a-71ba-4d38-8a52-3c23ffcf5cdd,44,Male,101,55,adult
3a626479-8b72-4500-a12d-97bb7d76e0e6,33,Male,68,27,adult
65f74905-788e-4b8e-b2ba-70b6ab52fea1,57,Male,165,9,adult
c66bcf0c-db9a-4201-8b7d-5c445e585b1d,46,Male,43,54,adult
b72a56cb-3430-4f05-9f46-6e0a2947bad4,51,Male,196,31,adult
3e51e22e-e3ae-42dd-a4f9-d771c07676ab,30,Male,195,27,adult
36fd3a7f-6226-4d3b-baf5-e39833d9782b,53,Male,150,32,adult
81dfd08e-32f2-40a4-95b4-a406726d0dd4,55,Male,135,96,adult
a81643c1-eaf7-4b97-9952-f6cc0881f37c,38,Male,130,71,adult
ea1cdcc7-425d-4679-83b5-25b8332b5e6a,54,Male,47,42,adult
dd8ea81b-09a8-434f-a9cb-b0c4baf6f248,38,Male,70,24,adult
e7d7ac8f-87c4-444c-9118-04d957987b53,33,Male,182,1,adult
30a4fcce-b05f-4988-9d5e-0d580e9028d6,52,Male,30,3,adult
dd714097-4205-4096-b6f8-d9822acd3c04,59,Male,194,47,adult
46654e16-4363-43d7-b3a5-54120a7b27a2,49,Male,198,33,adult
6557b342-6b66-4645-942f-b13f33f67e64,54,Male,88,40,adult
78883927-b348-4c79-932a-074dbf6af0f8,55,Male,74,13,adult
bc695e38-c5a0-46bd-bc6d-818403c82949,31,Male,84,8,adult
d4406fb9-a8c7-45f5-ac3d-85d9001719b4,36,Male,191,99,adult
d7896112-ac06-4c31-90ff-479f168d9ac3,40,Male,44,70,adult
6d4c5a7b-cc6d-4fc2-af14-2cc50e842f20,41,Male,33,95,adult
6c2dbd85-8fab-489b-b91e-6f148f53bbd7,57,Male,100,18,adult
