Customer ID,Age,Gender,Annual Income,Spending Score,Potensial
d410ea53-6661-42a9-ad3a-f554b05fd2a7,30,Male,151,89,No
1770b26f-493f-46b6-837f-4237fb5a314e,58,Female,185,95,No
e81aa8eb-1767-4b77-87ce-1620dc732c5e,62,Female,71,76,Yes
9795712a-ad19-47bf-8886-4f997d6046e3,23,Male,55,57,No
64139426-2226-4cd6-bf09-91bce4b4db5e,24,Male,154,76,No
7e211337-e92f-4140-8231-5c9ac7a2aa12,42,Male,158,40,No
30661d57-eeb5-4886-970a-9c7d0f260ad8,27,Female,164,37,No
43417ade-6b17-431e-ae76-d8ed26aa46ac,24,Male,70,17,Yes
86f73b1a-6a91-4d7e-ad21-0aefcf6111cc,83,Male,48,34,No
b20fe0a0-e254-4116-b804-5403bb2f59ea,62,Female,63,3,No
49ba3e9d-a590-4303-b443-e794d0364c11,37,Male,171,75,No
4be5f5b0-83f6-4bd2-9056-18a8d5414066,63,Female,89,80,No
eb0e4ebc-fcc1-424f-b083-81987583ecc6,25,Male,88,17,No
caa4ad5a-51b2-4af1-91cb-e2802f620239,32,Female,160,96,No
0c9d0e0d-a601-488c-9f3f-f036f2bdb536,51,Female,135,87,No
dc35a079-c3db-44f4-8612-d0af9daea414,64,Female,33,81,Yes
b43f995c-c9ab-4c58-8f71-949de233ac71,19,Male,199,82,No
51d7be3e-84c9-464a-85e8-0a95b568d90e,89,Male,39,97,No
8bbbdbbe-7f8a-4c9c-afed-f6969f49e9ac,65,Male,87,3,No
baa61fc0-4a1f-4210-916b-669d1ec44dbd,26,Male,46,12,No
05948202-e483-482a-9c02-6a655498002b,21,Male,200,49,No
6d6d557d-41c3-4992-9ef3-f7d113c78649,70,Male,164,36,No
dd6223b5-5aae-468b-b936-618b513d4e70,24,Male,109,6,No
9c702610-d6ce-48fe-9857-9e295e161ceb,39,Female,48,36,No
1fd446a8-109c-4314-92a2-a1e731923744,61,Male,142,45,No
65348b4f-9170-4edc-b035-cc484416face,19,Female,192,57,No
c2fd4929-fc3e-423a-8dd9-1fb239ef4de6,79,Male,110,7,No
eb6d1dfc-5b3a-4ade-8521-71db4659ad13,61,Female,38,15,Yes
896aef6f-4dc1-4b4a-8805-68ced6971458,73,Female,171,55,No
5963ff82-b2de-453f-bffe-4fed059e18ae,58,Male,81,23,No
e8db83f2-90bf-410e-bd1a-7c9ee14ca32b,90,Female,123,25,No
59052529-9a68-4936-93db-43cc1d541e84,39,Female,136,95,No
